,Unnamed: 0,team name,wins,losses,ties,wlp,PF,PA,PD_x,MoV,SoS,SRS,OSRS,DSRS,Rk_x_Off,Tm,Yds_tot_Off,Ply_Off,Y/P_Off,TO_Off,FL_Off,1stD_tot_Off,1stD_Pss_Off,1stD_Rsh_Off,Pen_Off,Yds_Pny_Off,1stPy_Off,Sc%_Off,TO%_Off,EXP_Off,Rk_Pss_Off,G_Pss_Off,Cmp_Off,Att_Pss_Off,Cmp%_Off,Yds_Pss_Off,TD_Pss_Off,TD%_Off,Int_Off,Int%_Off,Lng_Pss,Y/A_Pss_Off,AY/A_Off,Y/C_Off,Y/G_Pss_Off,Rate_Off,Sk_Off,Yds.1_Off,Sk%_Off,NY/A_Off,ANY/A_Off,4QC,GWD,EXP_Pss_Off,Rk_Rsh_Off,G_Rsh_Off,Att_Rsh_Off,Yds_Rsh_Off,TD_Rsh_Off,Lng_Rsh,Y/A_Rsh_Off,Y/G_Rsh_Off,Fmb,EXP_Rsh_Off,Rk_y_Off,G_Off,RshTD_Off,RecTD_Off,PR TD_Off,KR TD_Off,FblTD_Off,IntTD_Off,OthTD_Off,AllTD_Off,2PM_Off,2PA_Off,D2P_Off,XPM_Off,XPA_Off,FGM_Off,FGA_Off,Sfty_Off,Pts_Off,Pts/G_Off,Rk_x_Def,Yds_tot_Def,Ply_Def,Y/P_Def,TO_Def,FL_Def,1stD_tot_Def,1stD_Pss_Def,1stD_Rsh_Def,Pen_Def,Yds_Pny_Def,1stPy_Def,Sc%_Def,TO%_Def,EXP_Def,Rk_Pss_Def,G_Pss_Def,Cmp_Def,Att_Pss_Def,Cmp%_Def,Yds_Pss_Def,TD_Pss_Def,TD%_Def,Int_Def,PD_y,Int%_Def,Y/A_Pss_Def,AY/A_Def,Y/C_Def,Y/G_Pss_Def,Rate_Def,Sk_Def,Yds.1_Def,QBHits,TFL,Sk%_Def,NY/A_Def,ANY/A_Def,EXP_Pss_Def,Rk_Rsh_Def,G_Rsh_Def,Att_Rsh_Def,Yds_Rsh_Def,TD_Rsh_Def,Y/A_Rsh_Def,Y/G_Rsh_Def,EXP_Rsh_Def,Rk_y_Def,G_Def,RshTD_Def,RecTD_Def,PR TD_Def,KR TD_Def,FblTD_Def,IntTD_Def,OthTD_Def,AllTD_Def,2PM_Def,2PA_Def,D2P_Def,XPM_Def,XPA_Def,FGM_Def,FGA_Def,Sfty_Def,Pts_Def,Pts/G_Def
10,10,Tennessee Titans,9,7,0,0.563,310,303,7,0.4,-0.2,0.2,-3.2,3.5,27.0,Tennessee Titans_2018,5002.0,940.0,5.3,18.0,6.0,289.0,156.0,106.0,82.0,727.0,27.0,34.9,10.2,10.48,29.0,16.0,293.0,437.0,67.0,2975.0,16.0,3.7,12.0,2.7,66.0,7.4,6.9,11.1,185.9,89.8,47.0,280.0,9.7,6.1,5.7,4.0,5.0,16.34,6.0,16.0,456.0,2027.0,15.0,99.0,4.4,126.7,18.0,-0.1,3.0,16.0,15.0,16.0,,1.0,,2.0,,34.0,,1.0,,28.0,31.0,26.0,30.0,,310.0,19.4,3.0,5334.0,1001.0,5.3,17.0,6.0,298.0,182.0,98.0,120.0,984.0,18.0,33.1,9.9,-22.13,6.0,16.0,337.0,533.0,63.2,3471.0,21.0,3.9,11.0,64.0,2.1,7.0,6.8,11.0,216.9,88.4,39.0,248.0,84.0,65.0,6.8,6.1,5.9,-35.95,18,16,429,1863,9,4.3,116.4,8.17,3,16,9,21,,1.0,,1.0,,32,,0,,31,32,26,29,1.0,303,18.9
11,11,Jacksonville Jaguars,5,11,0,0.313,245,316,-71,-4.4,0.4,-4.0,-8.1,4.0,31.0,Jacksonville Jaguars_2018,4832.0,1005.0,4.8,29.0,16.0,277.0,164.0,92.0,121.0,1112.0,21.0,25.0,15.6,-98.17,26.0,16.0,329.0,536.0,61.4,3109.0,15.0,2.8,13.0,2.4,80.0,6.4,5.9,10.4,194.3,79.1,53.0,322.0,9.0,5.3,4.8,0.0,1.0,-65.36,19.0,16.0,416.0,1723.0,7.0,43.0,4.1,107.7,26.0,-23.44,5.0,16.0,7.0,15.0,1.0,,,2.0,,25.0,,2.0,,22.0,23.0,23.0,26.0,2.0,245.0,15.3,5.0,4983.0,970.0,5.1,17.0,6.0,288.0,162.0,89.0,92.0,735.0,37.0,33.1,8.3,4.66,2.0,16.0,312.0,499.0,62.5,3113.0,17.0,3.4,11.0,52.0,2.2,6.7,6.4,10.8,194.6,84.4,37.0,241.0,93.0,73.0,6.9,5.8,5.5,-16.56,19,16,434,1870,16,4.3,116.9,15.96,5,16,16,17,,,,1.0,,34,1.0,4,,29,30,27,31,,316,19.8
12,12,Kansas City Chiefs,12,4,0,0.75,565,421,144,9.0,-0.1,8.9,12.6,-3.8,1.0,Kansas City Chiefs_2018,6810.0,996.0,6.8,18.0,6.0,384.0,239.0,108.0,137.0,1152.0,37.0,52.6,10.5,298.14,3.0,16.0,385.0,583.0,66.0,4955.0,50.0,8.6,12.0,2.1,89.0,8.8,9.6,13.3,309.7,113.8,26.0,171.0,4.3,8.1,8.9,2.0,2.0,266.71,16.0,16.0,387.0,1855.0,16.0,45.0,4.8,115.9,18.0,35.81,24.0,16.0,16.0,50.0,1.0,,1.0,3.0,,71.0,1.0,2.0,,65.0,69.0,24.0,27.0,,565.0,35.3,24.0,6488.0,1109.0,5.9,27.0,12.0,419.0,247.0,129.0,107.0,881.0,43.0,40.8,14.9,-163.28,31.0,16.0,406.0,632.0,64.2,4374.0,30.0,4.7,15.0,64.0,2.4,7.5,7.4,11.6,273.4,92.7,52.0,347.0,105.0,70.0,7.6,6.4,6.3,-116.31,27,16,425,2114,19,5.0,132.1,-46.37,24,16,19,30,,,1.0,1.0,,51,5.0,11,,37,40,22,26,1.0,421,26.3
13,13,Los Angeles Chargers,12,4,0,0.75,428,329,99,6.2,-0.2,6.0,3.0,2.9,7.0,Los Angeles Chargers_2018,5962.0,945.0,6.3,19.0,7.0,338.0,213.0,100.0,113.0,967.0,25.0,42.4,10.0,170.19,10.0,16.0,348.0,512.0,68.0,4089.0,32.0,6.3,12.0,2.3,75.0,8.4,8.6,12.4,255.6,104.9,34.0,227.0,6.2,7.5,7.7,3.0,3.0,168.12,15.0,16.0,399.0,1873.0,16.0,41.0,4.7,117.1,17.0,4.1,8.0,16.0,16.0,32.0,1.0,,1.0,1.0,,51.0,6.0,8.0,1.0,36.0,43.0,24.0,29.0,,428.0,26.8,8.0,5339.0,981.0,5.4,20.0,7.0,311.0,178.0,101.0,103.0,828.0,32.0,33.7,11.8,-38.61,9.0,16.0,351.0,548.0,64.1,3646.0,23.0,4.2,13.0,73.0,2.4,7.1,6.9,11.1,227.9,89.1,38.0,240.0,85.0,68.0,6.5,6.2,6.0,-58.84,9,16,395,1693,11,4.3,105.8,11.12,8,16,11,23,1.0,,1.0,1.0,1.0,38,1.0,7,,30,31,23,30,,329,20.6
14,14,Denver Broncos,6,10,0,0.375,329,349,-20,-1.3,0.7,-0.5,-3.6,3.1,24.0,Denver Broncos_2018,5602.0,1015.0,5.5,21.0,6.0,320.0,181.0,107.0,125.0,985.0,32.0,30.6,11.3,24.23,19.0,16.0,367.0,588.0,62.4,3695.0,19.0,3.2,15.0,2.6,64.0,6.7,6.2,10.7,230.9,82.1,34.0,235.0,5.5,5.9,5.5,3.0,4.0,26.0,12.0,16.0,393.0,1907.0,18.0,65.0,4.9,119.2,18.0,2.77,13.0,16.0,18.0,19.0,,,,2.0,,39.0,,4.0,,35.0,35.0,20.0,25.0,,329.0,20.6,13.0,5842.0,1022.0,5.7,28.0,11.0,318.0,197.0,85.0,123.0,1006.0,36.0,34.1,14.1,-39.47,20.0,16.0,353.0,549.0,64.3,3929.0,26.0,4.7,17.0,82.0,3.1,7.7,7.3,12.0,245.6,90.7,44.0,311.0,94.0,70.0,7.4,6.6,6.2,-62.82,21,16,429,1913,11,4.5,119.6,10.71,13,16,11,26,1.0,,1.0,,,39,,0,,35,39,26,31,,349,21.8
15,15,Oakland Raiders,4,12,0,0.25,290,467,-177,-11.1,1.8,-9.3,-5.2,-4.1,28.0,Oakland Raiders_2018,5379.0,995.0,5.4,24.0,14.0,300.0,197.0,86.0,110.0,965.0,17.0,31.3,13.6,-17.92,18.0,16.0,382.0,556.0,68.7,3751.0,19.0,3.4,10.0,1.8,66.0,7.3,7.2,10.6,234.4,93.6,52.0,306.0,8.6,6.2,6.1,3.0,3.0,30.85,25.0,16.0,387.0,1628.0,9.0,52.0,4.2,101.8,24.0,-41.83,32.0,16.0,9.0,19.0,1.0,,,1.0,,30.0,1.0,2.0,,27.0,28.0,27.0,32.0,,290.0,18.1,32.0,6102.0,973.0,6.3,17.0,3.0,317.0,178.0,108.0,117.0,991.0,31.0,44.3,9.8,-172.07,19.0,16.0,299.0,480.0,62.3,3853.0,36.0,7.5,14.0,73.0,2.9,8.2,8.4,13.2,240.8,101.0,13.0,80.0,48.0,53.0,2.6,7.8,8.0,-156.09,30,16,480,2249,16,4.7,140.6,-15.94,32,16,16,36,1.0,,1.0,2.0,,56,3.0,4,,50,52,25,30,,467,29.2
16,16,Dallas Cowboys,10,6,0,0.625,339,324,15,0.9,0.2,1.1,-1.9,2.9,22.0,Dallas Cowboys_2018,5501.0,1022.0,5.4,17.0,9.0,322.0,184.0,113.0,104.0,885.0,25.0,37.9,10.1,83.04,23.0,16.0,356.0,527.0,67.6,3538.0,22.0,4.2,8.0,1.5,90.0,7.4,7.5,10.9,221.1,96.7,56.0,347.0,9.6,6.1,6.2,3.0,5.0,64.95,10.0,16.0,439.0,1963.0,13.0,41.0,4.5,122.7,23.0,17.99,6.0,16.0,13.0,22.0,,,1.0,,,36.0,2.0,2.0,,32.0,33.0,29.0,36.0,,339.0,21.2,6.0,5268.0,981.0,5.4,20.0,11.0,309.0,193.0,89.0,89.0,681.0,27.0,36.5,12.0,-52.66,13.0,16.0,367.0,542.0,67.7,3755.0,22.0,4.1,9.0,66.0,1.7,7.4,7.4,10.9,234.7,95.7,39.0,229.0,97.0,69.0,6.7,6.5,6.5,-83.33,5,16,400,1513,12,3.8,94.6,26.93,6,16,12,22,,,1.0,,,35,1.0,2,,31,33,27,30,,324,20.3
17,17,Philadelphia Eagles,9,7,0,0.563,367,348,19,1.2,0.5,1.7,0.0,1.8,18.0,Philadelphia Eagles_2018,5845.0,1037.0,5.6,23.0,12.0,346.0,221.0,94.0,100.0,852.0,31.0,38.1,12.5,91.97,7.0,16.0,422.0,599.0,70.5,4275.0,29.0,4.8,11.0,1.8,83.0,7.6,7.7,10.7,267.2,100.7,40.0,249.0,6.3,6.7,6.8,4.0,4.0,129.5,28.0,16.0,398.0,1570.0,12.0,32.0,3.9,98.1,29.0,-30.02,12.0,16.0,12.0,29.0,,,,,,41.0,5.0,6.0,,33.0,35.0,26.0,31.0,,367.0,22.9,12.0,5859.0,1002.0,5.8,17.0,7.0,308.0,215.0,71.0,115.0,995.0,22.0,38.6,9.1,-90.19,30.0,16.0,417.0,626.0,66.6,4308.0,22.0,3.5,10.0,68.0,1.6,7.4,7.4,11.1,269.3,93.4,44.0,311.0,133.0,86.0,6.6,6.4,6.4,-100.8,7,16,332,1551,14,4.7,96.9,-5.81,12,16,14,22,,,1.0,,,37,1.0,3,,28,32,32,37,,348,21.8
18,18,Washington Redskins,7,9,0,0.438,281,359,-78,-4.9,-0.1,-4.9,-5.6,0.6,29.0,Washington Redskins_2018,4795.0,967.0,5.0,19.0,4.0,280.0,156.0,96.0,115.0,1008.0,28.0,31.8,11.2,-34.07,28.0,16.0,311.0,509.0,61.1,3021.0,16.0,3.1,15.0,2.9,79.0,6.5,5.8,10.6,188.8,78.1,44.0,266.0,8.0,5.5,4.8,1.0,1.0,-24.87,17.0,16.0,414.0,1774.0,12.0,90.0,4.3,110.9,18.0,-1.14,15.0,16.0,12.0,16.0,,,1.0,,,29.0,2.0,3.0,,25.0,26.0,26.0,29.0,,281.0,17.6,15.0,5654.0,996.0,5.7,26.0,11.0,330.0,197.0,109.0,102.0,791.0,24.0,35.1,14.6,-87.52,15.0,16.0,362.0,537.0,67.4,3794.0,27.0,5.0,15.0,60.0,2.8,7.6,7.4,11.3,237.1,95.1,46.0,297.0,89.0,65.0,7.9,6.5,6.3,-66.83,17,16,413,1860,12,4.5,116.3,-22.34,15,16,12,27,1.0,,,3.0,,43,2.0,4,,34,38,21,26,,359,22.4
19,19,New York Giants,5,11,0,0.313,369,412,-43,-2.7,0.5,-2.2,0.8,-2.9,16.0,New York Giants_2018,5697.0,984.0,5.8,19.0,7.0,297.0,208.0,71.0,114.0,951.0,18.0,38.4,9.6,70.53,11.0,16.0,382.0,583.0,65.5,4047.0,23.0,3.9,12.0,2.1,58.0,7.6,7.4,11.5,252.9,92.7,47.0,358.0,7.5,6.4,6.3,1.0,2.0,77.66,24.0,16.0,354.0,1650.0,13.0,78.0,4.7,103.1,16.0,-0.56,23.0,16.0,13.0,23.0,,,,3.0,,39.0,4.0,7.0,,31.0,32.0,32.0,33.0,,369.0,23.1,23.0,5942.0,1034.0,5.7,21.0,5.0,346.0,205.0,103.0,110.0,919.0,38.0,40.9,11.6,-107.2,23.0,16.0,362.0,560.0,64.6,4044.0,24.0,4.3,16.0,76.0,2.9,7.6,7.1,11.7,252.8,89.8,30.0,185.0,84.0,71.0,5.1,6.9,6.4,-105.62,20,16,444,1898,18,4.3,118.6,-10.05,23,16,18,24,,,1.0,1.0,,44,5.0,6,,39,39,31,35,,412,25.8
