,Unnamed: 0,team name,wins,losses,ties,wlp,PF,PA,PD_x,MoV,SoS,SRS,OSRS,DSRS,Rk_x_Off,Tm,Yds_tot_Off,Ply_Off,Y/P_Off,TO_Off,FL_Off,1stD_tot_Off,1stD_Pss_Off,1stD_Rsh_Off,Pen_Off,Yds_Pny_Off,1stPy_Off,Sc%_Off,TO%_Off,EXP_Off,Rk_Pss_Off,G_Pss_Off,Cmp_Off,Att_Pss_Off,Cmp%_Off,Yds_Pss_Off,TD_Pss_Off,TD%_Off,Int_Off,Int%_Off,Lng_Pss,Y/A_Pss_Off,AY/A_Off,Y/C_Off,Y/G_Pss_Off,Rate_Off,Sk_Off,Yds.1_Off,Sk%_Off,NY/A_Off,ANY/A_Off,4QC,GWD,EXP_Pss_Off,Rk_Rsh_Off,G_Rsh_Off,Att_Rsh_Off,Yds_Rsh_Off,TD_Rsh_Off,Lng_Rsh,Y/A_Rsh_Off,Y/G_Rsh_Off,Fmb,EXP_Rsh_Off,Rk_y_Off,G_Off,RshTD_Off,RecTD_Off,PR TD_Off,KR TD_Off,FblTD_Off,IntTD_Off,OthTD_Off,AllTD_Off,2PM_Off,2PA_Off,D2P_Off,XPM_Off,XPA_Off,FGM_Off,FGA_Off,Sfty_Off,Pts_Off,Pts/G_Off,Rk_x_Def,Yds_tot_Def,Ply_Def,Y/P_Def,TO_Def,FL_Def,1stD_tot_Def,1stD_Pss_Def,1stD_Rsh_Def,Pen_Def,Yds_Pny_Def,1stPy_Def,Sc%_Def,TO%_Def,EXP_Def,Rk_Pss_Def,G_Pss_Def,Cmp_Def,Att_Pss_Def,Cmp%_Def,Yds_Pss_Def,TD_Pss_Def,TD%_Def,Int_Def,PD_y,Int%_Def,Y/A_Pss_Def,AY/A_Def,Y/C_Def,Y/G_Pss_Def,Rate_Def,Sk_Def,Yds.1_Def,QBHits,TFL,Sk%_Def,NY/A_Def,ANY/A_Def,EXP_Pss_Def,Rk_Rsh_Def,G_Rsh_Def,Att_Rsh_Def,Yds_Rsh_Def,TD_Rsh_Def,Y/A_Rsh_Def,Y/G_Rsh_Def,EXP_Rsh_Def,Rk_y_Def,G_Def,RshTD_Def,RecTD_Def,PR TD_Def,KR TD_Def,FblTD_Def,IntTD_Def,OthTD_Def,AllTD_Def,2PM_Def,2PA_Def,D2P_Def,XPM_Def,XPA_Def,FGM_Def,FGA_Def,Sfty_Def,Pts_Def,Pts/G_Def
0,0,New England Patriots,11,5,0,0.688,436,325,111,6.9,-1.8,5.2,3.1,2.1,4.0,New England Patriots_2018,6295.0,1073.0,5.9,18.0,7.0,365.0,206.0,131.0,93.0,744.0,28.0,40.8,9.2,190.96,8.0,16.0,378.0,574.0,65.9,4258.0,29.0,5.1,11.0,1.9,63.0,7.7,7.8,11.7,266.1,97.8,21.0,147.0,3.5,7.2,7.3,1.0,2.0,194.27,5.0,16.0,478.0,2037.0,18.0,34.0,4.3,127.3,11.0,6.6,7.0,16.0,18.0,29.0,,1.0,1.0,1.0,1.0,51.0,,1.0,,49.0,50.0,27.0,32.0,,436.0,27.3,7.0,5746.0,1002.0,5.7,28.0,10.0,322.0,208.0,93.0,91.0,838.0,21.0,32.6,15.0,-32.66,22.0,16.0,370.0,605.0,61.2,3943.0,29.0,4.8,18.0,67.0,3.0,6.9,6.5,11.3,246.4,85.4,30.0,238.0,100.0,51.0,4.7,6.2,5.8,-52.38,11,16,367,1803,7,4.9,112.7,8.45,7,16,7,29,,,,,,36,,1,,34,34,25,29,,325,20.3
1,1,Miami Dolphins,7,9,0,0.438,319,433,-114,-7.1,-1.7,-8.8,-3.6,-5.2,26.0,Miami Dolphins_2018,4638.0,878.0,5.3,23.0,10.0,252.0,153.0,75.0,108.0,978.0,24.0,28.3,12.5,-40.39,30.0,16.0,292.0,455.0,64.2,2900.0,26.0,5.7,13.0,2.9,75.0,7.3,7.1,11.3,181.3,93.0,52.0,409.0,10.3,5.7,5.6,4.0,4.0,-19.71,18.0,16.0,371.0,1738.0,7.0,75.0,4.7,108.6,17.0,-14.17,27.0,16.0,7.0,26.0,1.0,1.0,,3.0,,38.0,1.0,1.0,,35.0,36.0,18.0,20.0,,319.0,19.9,27.0,6257.0,1024.0,6.1,28.0,7.0,350.0,195.0,116.0,107.0,856.0,39.0,39.9,14.2,-124.79,21.0,16.0,335.0,508.0,65.9,3932.0,31.0,6.1,21.0,59.0,4.1,8.2,7.5,12.4,245.8,94.1,31.0,209.0,76.0,66.0,5.8,7.3,6.7,-120.2,31,16,485,2325,17,4.8,145.3,-12.93,27,16,17,31,,1.0,1.0,2.0,,52,1.0,2,,47,50,24,32,,433,27.1
2,2,Buffalo Bills,6,10,0,0.375,269,374,-105,-6.6,-0.3,-6.9,-6.3,-0.6,30.0,Buffalo Bills_2018,4778.0,1008.0,4.7,32.0,9.0,283.0,137.0,108.0,116.0,992.0,38.0,26.4,15.5,-104.81,31.0,16.0,271.0,499.0,54.3,2794.0,13.0,2.6,23.0,4.6,75.0,6.2,4.6,11.4,174.6,62.6,41.0,288.0,7.6,5.2,3.7,2.0,3.0,-88.45,9.0,16.0,468.0,1984.0,15.0,45.0,4.2,124.0,23.0,-8.4,18.0,16.0,15.0,13.0,,,1.0,,,29.0,1.0,3.0,,25.0,26.0,22.0,28.0,1.0,269.0,16.8,18.0,4706.0,968.0,4.9,27.0,11.0,293.0,157.0,111.0,99.0,976.0,25.0,33.3,14.3,20.12,1.0,16.0,313.0,492.0,63.6,2867.0,22.0,4.5,16.0,73.0,3.3,6.3,5.7,9.9,179.2,82.6,36.0,217.0,87.0,88.0,6.8,5.4,4.9,-5.19,16,16,440,1839,17,4.2,114.9,14.75,18,16,17,22,,,1.0,4.0,,44,1.0,5,,36,39,24,27,,374,23.4
3,3,New York Jets,4,12,0,0.25,333,441,-108,-6.8,-1.1,-7.8,-2.0,-5.9,23.0,New York Jets_2018,4787.0,971.0,4.9,30.0,11.0,258.0,157.0,84.0,114.0,948.0,17.0,32.0,14.7,-97.45,25.0,16.0,299.0,524.0,57.1,3165.0,18.0,3.4,19.0,3.6,76.0,6.5,5.6,11.4,197.8,73.0,37.0,239.0,6.6,5.6,4.8,1.0,1.0,-40.27,26.0,16.0,410.0,1622.0,11.0,77.0,4.0,101.4,24.0,-48.94,29.0,16.0,11.0,18.0,1.0,1.0,,3.0,,34.0,,1.0,,30.0,33.0,33.0,36.0,,333.0,20.8,29.0,6086.0,1061.0,5.7,20.0,7.0,343.0,201.0,104.0,95.0,817.0,38.0,39.1,9.9,-73.31,24.0,16.0,367.0,582.0,63.1,4065.0,29.0,5.0,13.0,76.0,2.2,7.5,7.5,11.9,254.1,93.1,39.0,293.0,114.0,77.0,6.3,6.5,6.5,-76.59,26,16,440,2021,16,4.6,126.3,-0.65,29,16,16,29,,,1.0,2.0,,48,2.0,4,,42,44,33,39,1.0,441,27.6
4,4,Baltimore Ravens,10,6,0,0.625,389,287,102,6.4,0.6,7.0,0.6,6.4,13.0,Baltimore Ravens_2018,5999.0,1135.0,5.3,20.0,11.0,367.0,184.0,153.0,116.0,940.0,30.0,40.7,10.7,72.85,22.0,16.0,334.0,556.0,60.1,3558.0,18.0,3.2,9.0,1.6,74.0,6.7,6.6,11.1,222.4,84.0,32.0,150.0,5.4,6.1,6.0,0.0,1.0,61.49,2.0,16.0,547.0,2441.0,19.0,43.0,4.5,152.6,25.0,22.48,2.0,16.0,19.0,18.0,1.0,,3.0,,,41.0,1.0,4.0,,36.0,37.0,35.0,39.0,,389.0,24.3,2.0,4687.0,974.0,4.8,17.0,5.0,286.0,174.0,82.0,113.0,1017.0,30.0,29.1,9.5,39.88,5.0,16.0,337.0,577.0,58.4,3360.0,21.0,3.6,12.0,89.0,2.1,6.3,6.1,10.8,210.0,80.6,43.0,291.0,104.0,86.0,6.9,5.4,5.2,0.96,4,16,354,1327,11,3.7,82.9,34.35,2,16,11,21,,,1.0,,,33,1.0,4,,27,29,20,26,,287,17.9
5,5,Pittsburgh Steelers,9,6,1,0.594,428,360,68,4.3,1.3,5.6,3.9,1.7,8.0,Pittsburgh Steelers_2018,6453.0,1058.0,6.1,26.0,9.0,378.0,251.0,88.0,111.0,1026.0,39.0,36.8,14.3,156.16,2.0,16.0,459.0,689.0,66.6,5008.0,35.0,5.1,17.0,2.5,97.0,7.5,7.4,11.3,313.0,95.5,24.0,166.0,3.4,7.0,6.9,2.0,3.0,161.94,31.0,16.0,345.0,1445.0,16.0,30.0,4.2,90.3,21.0,-5.9,17.0,16.0,16.0,35.0,,,1.0,2.0,,54.0,4.0,5.0,,44.0,49.0,16.0,23.0,2.0,428.0,26.8,17.0,5235.0,987.0,5.3,15.0,7.0,317.0,200.0,84.0,136.0,1170.0,33.0,33.7,8.2,-52.4,10.0,16.0,362.0,566.0,64.0,3697.0,27.0,4.8,8.0,69.0,1.4,7.1,7.5,11.2,231.1,95.2,52.0,347.0,115.0,77.0,8.4,6.0,6.3,-73.72,6,16,369,1538,13,4.2,96.1,12.17,17,16,13,27,1.0,,,1.0,,42,2.0,3,,38,39,22,26,,360,22.5
6,6,Cleveland Browns,7,8,1,0.469,359,392,-33,-2.1,1.7,-0.3,-1.0,0.6,20.0,Cleveland Browns_2018,5900.0,1023.0,5.8,24.0,7.0,314.0,189.0,93.0,112.0,894.0,32.0,31.2,11.4,36.91,14.0,16.0,353.0,574.0,61.5,4007.0,29.0,5.1,17.0,3.0,71.0,7.4,7.1,12.1,250.4,88.8,38.0,254.0,6.2,6.5,6.2,4.0,4.0,48.28,14.0,16.0,411.0,1893.0,15.0,92.0,4.6,118.3,19.0,-7.07,21.0,16.0,15.0,29.0,,,,,,44.0,4.0,10.0,,28.0,34.0,19.0,25.0,1.0,359.0,22.4,21.0,6288.0,1122.0,5.6,31.0,14.0,377.0,216.0,130.0,119.0,990.0,31.0,35.3,15.4,-46.08,25.0,16.0,393.0,626.0,62.8,4125.0,21.0,3.4,17.0,78.0,2.7,7.0,6.4,11.1,257.8,83.4,37.0,245.0,90.0,78.0,5.6,6.2,5.7,-53.01,28,16,459,2163,20,4.7,135.2,2.53,21,16,20,21,,,,2.0,,43,3.0,4,,36,39,30,37,1.0,392,24.5
7,7,Cincinnati Bengals,6,10,0,0.375,368,455,-87,-5.4,2.0,-3.4,0.0,-3.4,17.0,Cincinnati Bengals_2018,4972.0,938.0,5.3,17.0,4.0,304.0,182.0,92.0,114.0,957.0,30.0,35.5,9.6,47.57,24.0,16.0,331.0,542.0,61.1,3290.0,27.0,5.0,13.0,2.4,49.0,6.6,6.5,10.8,205.6,87.0,37.0,279.0,6.4,5.7,5.6,3.0,4.0,65.06,21.0,16.0,359.0,1682.0,13.0,51.0,4.7,105.1,11.0,-4.71,30.0,16.0,13.0,27.0,,,2.0,3.0,,45.0,1.0,4.0,,39.0,41.0,19.0,23.0,,368.0,23.0,30.0,6618.0,1084.0,6.1,18.0,6.0,372.0,221.0,125.0,113.0,944.0,26.0,46.3,10.2,-164.84,32.0,16.0,389.0,584.0,66.6,4414.0,32.0,5.5,12.0,75.0,2.1,7.9,8.0,11.8,275.9,100.0,34.0,173.0,83.0,63.0,5.5,7.1,7.3,-139.92,29,16,466,2204,17,4.7,137.8,-31.83,30,16,17,32,1.0,,,1.0,,51,3.0,5,,44,46,33,36,,455,28.4
8,8,Houston Texans,11,5,0,0.688,402,316,86,5.4,-1.5,3.8,2.4,1.4,11.0,Houston Texans_2018,5802.0,1040.0,5.6,16.0,7.0,333.0,202.0,94.0,105.0,787.0,37.0,40.3,8.1,84.1,17.0,16.0,345.0,506.0,68.2,3781.0,26.0,5.1,9.0,1.8,73.0,8.2,8.5,12.1,236.3,102.9,62.0,384.0,10.9,6.7,6.9,5.0,5.0,109.94,8.0,16.0,472.0,2021.0,12.0,97.0,4.3,126.3,19.0,-6.6,4.0,16.0,12.0,26.0,,,1.0,3.0,,42.0,,1.0,,39.0,41.0,37.0,42.0,,402.0,25.1,4.0,5490.0,1022.0,5.4,29.0,14.0,298.0,200.0,76.0,117.0,945.0,22.0,31.6,13.9,-10.29,28.0,16.0,385.0,594.0,64.8,4167.0,28.0,4.7,15.0,90.0,2.5,7.5,7.3,11.6,260.4,92.7,43.0,310.0,92.0,80.0,6.8,6.5,6.4,-71.19,3,16,385,1323,8,3.4,82.7,51.4,4,16,8,28,,,,,,36,1.0,4,,29,32,23,26,,316,19.8
9,9,Indianapolis Colts,10,6,0,0.625,433,344,89,5.6,-2.2,3.4,3.9,-0.6,5.0,Indianapolis Colts_2018,6179.0,1070.0,5.8,24.0,9.0,371.0,237.0,96.0,120.0,953.0,38.0,41.2,13.2,140.47,6.0,16.0,432.0,644.0,67.1,4461.0,39.0,6.1,15.0,2.3,68.0,7.1,7.3,10.6,278.8,98.2,18.0,134.0,2.7,6.7,6.9,3.0,3.0,148.05,20.0,16.0,408.0,1718.0,13.0,53.0,4.2,107.4,17.0,-13.08,10.0,16.0,13.0,39.0,,,,,,52.0,4.0,5.0,,44.0,47.0,23.0,27.0,,433.0,27.1,10.0,5435.0,997.0,5.5,26.0,11.0,315.0,203.0,87.0,131.0,1115.0,25.0,35.5,14.5,-37.23,16.0,16.0,384.0,542.0,70.8,3805.0,21.0,3.9,15.0,61.0,2.8,7.4,7.0,10.5,237.8,93.5,38.0,228.0,77.0,91.0,6.6,6.6,6.1,-49.1,8,16,417,1630,12,3.9,101.9,9.62,10,16,12,21,,,2.0,2.0,,37,,0,,36,37,28,33,1.0,344,21.5
