,Unnamed: 0,Tm,wins,losses,ties,wlp,PF,PA,PD_x,MoV,SoS,SRS,OSRS,DSRS,Rk_x_Off,Yds_tot_Off,Ply_Off,Y/P_Off,TO_Off,FL_Off,1stD_tot_Off,1stD_Pss_Off,1stD_Rsh_Off,Pen_Off,Yds_Pny_Off,1stPy_Off,Sc%_Off,TO%_Off,EXP_Off,Rk_Pss_Off,G_Pss_Off,Cmp_Off,Att_Pss_Off,Cmp%_Off,Yds_Pss_Off,TD_Pss_Off,TD%_Off,Int_Off,Int%_Off,Lng_Pss,Y/A_Pss_Off,AY/A_Off,Y/C_Off,Y/G_Pss_Off,Rate_Off,Sk_Off,Yds.1_Off,Sk%_Off,NY/A_Off,ANY/A_Off,4QC,GWD,EXP_Pss_Off,Rk_Rsh_Off,G_Rsh_Off,Att_Rsh_Off,Yds_Rsh_Off,TD_Rsh_Off,Lng_Rsh,Y/A_Rsh_Off,Y/G_Rsh_Off,Fmb,EXP_Rsh_Off,Rk_y_Off,G_Off,RshTD_Off,RecTD_Off,PR TD_Off,KR TD_Off,FblTD_Off,IntTD_Off,OthTD_Off,AllTD_Off,2PM_Off,2PA_Off,D2P_Off,XPM_Off,XPA_Off,FGM_Off,FGA_Off,Sfty_Off,Pts_Off,Pts/G_Off,Rk_x_Def,Yds_tot_Def,Ply_Def,Y/P_Def,TO_Def,FL_Def,1stD_tot_Def,1stD_Pss_Def,1stD_Rsh_Def,Pen_Def,Yds_Pny_Def,1stPy_Def,Sc%_Def,TO%_Def,EXP_Def,Rk_Pss_Def,G_Pss_Def,Cmp_Def,Att_Pss_Def,Cmp%_Def,Yds_Pss_Def,TD_Pss_Def,TD%_Def,Int_Def,PD_y,Int%_Def,Y/A_Pss_Def,AY/A_Def,Y/C_Def,Y/G_Pss_Def,Rate_Def,Sk_Def,Yds.1_Def,QBHits,TFL,Sk%_Def,NY/A_Def,ANY/A_Def,EXP_Pss_Def,Rk_Rsh_Def,G_Rsh_Def,Att_Rsh_Def,Yds_Rsh_Def,TD_Rsh_Def,Y/A_Rsh_Def,Y/G_Rsh_Def,EXP_Rsh_Def,Rk_y_Def,G_Def,RshTD_Def,RecTD_Def,PR TD_Def,KR TD_Def,FblTD_Def,IntTD_Def,OthTD_Def,AllTD_Def,2PM_Def,2PA_Def,D2P_Def,XPM_Def,XPA_Def,FGM_Def,FGA_Def,Sfty_Def,Pts_Def,Pts/G_Def,team name
20,20,Buffalo Bills_2016,7,9,0,0.438,399,378,21,1.3,-1.6,-0.3,1.8,-2.2,10,5666,1012,5.6,12,5,328,155,146,112,960,27,36.7,6.8,60.85,30,16,286,474,60.3,3036,17,3.6,7,1.5,84,6.9,6.9,11.4,189.8,86.7,46,214,8.8,5.8,5.9,1.0,1.0,36.85,1,16,492,2630,29,75,5.3,164.4,15,35.39,17,16,29,17,,,2.0,1.0,,49,4.0,4,,40,45,19,25,,399,24.9,17,5712,1019,5.6,18,6,338,183,122,106,884,33,38.8,9.3,46.56,6,16,306,511,59.9,3582,19,3.7,12,74,2.3,7.5,7.2,12.5,223.9,85.9,39,253,79,70,7.1,6.5,6.2,-17.7,29,16,469,2130,21,4.5,133.1,52.25,17,16,21,19,,,,,1.0,41,2.0,3,,36,38,30,32,1.0,378,23.6,Buffalo Bills
21,21,Philadelphia Eagles_2016,7,9,0,0.438,367,331,36,2.3,1.6,3.8,1.3,2.5,16,5398,1080,5.0,20,6,333,192,114,113,945,27,37.6,11.2,-45.33,24,16,380,609,62.4,3585,16,2.6,14,2.3,73,6.2,5.7,10.0,224.1,79.2,33,213,5.1,5.6,5.1,1.0,1.0,15.12,11,16,438,1813,16,30,4.1,113.3,24,-54.66,12,16,16,16,,2.0,,3.0,,37,4.0,6,,30,31,35,41,1.0,367,22.9,12,5484,978,5.6,26,10,300,177,89,99,837,34,33.9,13.4,25.9,13,16,333,553,60.2,3832,25,4.5,16,77,2.9,7.3,6.9,12.1,239.5,85.7,34,207,90,75,5.8,6.5,6.2,-15.13,15,16,391,1652,10,4.2,103.3,30.88,12,16,10,25,1.0,,,,,36,,1,,31,34,28,33,,331,20.7,Philadelphia Eagles
22,22,New Orleans Saints_2016,7,9,0,0.438,469,454,15,0.9,0.6,1.5,6.8,-5.3,2,6816,1105,6.2,24,9,395,265,105,107,969,25,45.9,12.7,76.86,1,16,472,674,70.0,5074,38,5.6,15,2.2,98,7.8,7.9,11.1,317.1,102.5,27,184,3.9,7.2,7.4,2.0,4.0,116.53,16,16,404,1742,17,75,4.3,108.9,17,-16.59,31,16,17,38,,,,,,55,2.0,5,,49,50,28,34,1.0,469,29.3,31,6006,1008,6.0,21,12,353,230,91,104,881,32,45.3,12.2,-61.65,32,16,378,582,64.9,4380,27,4.6,9,67,1.5,7.9,8.1,12.2,273.8,98.1,30,213,106,65,4.9,7.2,7.4,-128.7,14,16,396,1626,19,4.1,101.6,43.12,31,16,19,27,,,2.0,2.0,1.0,51,3.0,5,,44,46,32,35,,454,28.4,New Orleans Saints
23,23,Cincinnati Bengals_2016,6,9,1,0.406,325,315,10,0.6,0.4,1.0,-1.5,2.5,24,5711,1050,5.4,17,9,341,204,100,88,726,37,35.8,8.5,30.41,15,16,364,563,64.7,3942,18,3.2,8,1.4,86,7.5,7.5,11.6,246.4,91.8,41,264,6.8,6.5,6.5,2.0,1.0,72.64,13,16,446,1769,17,74,4.0,110.6,20,-38.62,8,16,17,18,,,,,,35,,0,,29,35,28,35,1.0,325,20.3,8,5612,1038,5.4,20,3,327,196,95,105,950,36,34.7,11.4,-0.36,11,16,374,593,63.1,3800,22,3.7,17,85,2.9,6.7,6.2,10.7,237.5,83.1,33,185,104,61,5.3,6.1,5.6,-30.96,21,16,412,1812,12,4.4,113.3,21.6,8,16,12,22,,,,,,34,,2,,28,32,27,31,1.0,315,19.7,Cincinnati Bengals
24,24,Carolina Panthers_2016,6,10,0,0.375,369,402,-33,-2.1,1.1,-1.0,-0.2,-0.8,15,5499,1052,5.2,29,10,318,194,99,98,835,25,34.7,14.0,-81.23,22,16,306,563,54.4,3685,21,3.7,19,3.4,88,7.0,6.3,12.9,230.3,75.1,36,277,6.0,6.2,5.4,,,-12.06,10,16,453,1814,16,47,4.0,113.4,13,-53.01,26,16,16,21,,,2.0,1.0,,40,3.0,6,,31,34,30,38,1.0,369,23.1,26,5756,1035,5.6,27,10,329,223,90,112,907,16,36.2,13.8,57.81,29,16,409,612,66.8,4291,27,4.4,17,70,2.8,7.5,7.1,11.2,268.2,92.0,47,270,93,77,7.1,6.5,6.2,-11.03,6,16,376,1465,11,3.9,91.6,44.95,26,16,11,27,1.0,,,4.0,,43,4.0,6,,35,37,33,42,1.0,402,25.1,Carolina Panthers
25,25,New York Jets_2016,5,11,0,0.313,275,409,-134,-8.4,-0.1,-8.5,-5.5,-3.0,30,5268,1003,5.3,34,9,291,166,97,93,837,28,29.7,17.8,-79.69,27,16,311,550,56.5,3466,16,2.9,25,4.5,69,6.6,5.2,11.7,216.6,67.6,35,179,6.0,5.9,4.5,1.0,1.0,-61.88,12,16,418,1802,10,35,4.3,112.6,24,-13.71,28,16,10,16,,,1.0,,1.0,28,1.0,1,,24,26,27,31,,275,17.2,28,5479,1000,5.5,14,6,318,203,86,74,651,29,37.7,7.1,-55.99,17,16,347,545,63.7,3898,30,5.5,8,54,1.5,7.5,7.9,11.7,243.6,98.5,27,179,81,71,4.7,6.8,7.2,-124.47,11,16,428,1581,11,3.7,98.8,64.26,28,16,11,30,,1.0,3.0,1.0,1.0,47,1.0,2,,44,45,27,31,,409,25.6,New York Jets
26,26,San Diego Chargers_2016,5,11,0,0.313,410,423,-13,-0.8,0.9,0.1,3.0,-3.0,9,5708,1014,5.6,35,14,340,214,90,107,780,36,38.1,18.2,-29.1,8,16,349,580,60.2,4198,33,5.7,21,3.6,59,7.6,7.1,12.6,262.4,87.6,36,188,5.8,6.8,6.4,1.0,1.0,62.52,26,16,398,1510,10,48,3.8,94.4,22,-80.38,29,16,10,33,,,2.0,3.0,,48,,2,,42,46,26,32,1.0,410,25.6,29,5554,1025,5.4,28,10,329,204,98,119,837,27,39.8,14.5,71.88,20,16,364,580,62.8,3987,21,3.6,18,86,3.1,7.3,6.6,11.6,249.2,83.8,35,230,87,94,5.7,6.5,5.8,0.36,10,16,410,1567,20,3.8,97.9,62.71,29,16,20,21,1.0,,1.0,3.0,,46,2.0,3,,42,42,33,38,1.0,423,26.4,San Diego Chargers
27,27,Los Angeles Rams_2016,4,12,0,0.25,224,394,-170,-10.6,-0.5,-11.1,-9.5,-1.6,32,4203,960,4.4,29,9,245,151,68,126,1091,26,21.8,14.5,-190.35,31,16,312,536,58.2,2951,14,2.6,20,3.7,66,6.2,5.0,10.6,184.4,69.5,49,362,8.4,5.0,4.0,1.0,2.0,-123.49,31,16,375,1252,9,30,3.3,78.3,24,-53.77,23,16,9,14,,,1.0,,,24,,1,,23,23,19,22,,224,14.0,23,5392,1037,5.2,18,8,325,194,91,108,920,40,31.3,9.4,-2.88,10,16,378,582,64.9,3732,32,5.5,10,73,1.7,6.7,7.1,10.4,233.3,95.5,31,196,108,90,5.1,6.1,6.4,-48.92,16,16,424,1660,12,3.9,103.8,24.54,23,16,12,32,,,1.0,5.0,,50,1.0,3,,44,47,16,18,,394,24.6,Los Angeles Rams
28,28,Jacksonville Jaguars_2016,3,13,0,0.188,318,400,-82,-5.1,0.2,-5.0,-2.7,-2.3,25,5359,1052,5.1,29,13,321,207,75,129,1187,39,31.4,13.6,-67.5,20,16,369,626,58.9,3728,24,3.8,16,2.6,51,6.3,5.9,10.6,233.0,79.5,34,197,5.2,5.6,5.3,1.0,1.0,12.29,22,16,392,1631,8,57,4.2,101.9,23,-64.26,25,16,8,24,,1.0,,1.0,,34,2.0,2,,29,32,27,34,,318,19.9,25,5147,1030,5.0,13,6,305,174,93,101,948,38,39.3,5.8,40.52,5,16,345,551,62.6,3444,20,3.6,7,55,1.3,6.6,6.7,10.5,215.3,88.5,33,183,77,80,5.7,5.9,6.0,-15.33,19,16,446,1703,17,3.8,106.4,49.93,25,16,17,20,1.0,,,3.0,,41,1.0,1,,36,40,38,41,1.0,400,25.0,Jacksonville Jaguars
29,29,Chicago Bears_2016,3,13,0,0.188,279,399,-120,-7.5,0.0,-7.5,-5.2,-2.3,29,5704,967,5.9,31,12,324,212,93,110,967,19,27.3,17.4,-70.06,14,16,347,559,62.1,3969,19,3.4,19,3.4,64,7.4,6.6,11.9,248.1,81.8,28,170,4.8,6.8,6.0,,,-14.33,17,16,380,1735,10,69,4.6,108.4,26,-46.68,24,16,10,19,1.0,,1.0,1.0,,32,,0,,31,32,18,23,1.0,279,17.4,24,5548,1012,5.5,11,3,322,188,99,103,959,35,42.0,6.3,-68.19,7,16,342,530,64.5,3598,22,4.2,8,70,1.5,7.2,7.4,11.2,224.9,93.5,37,230,75,66,6.5,6.3,6.5,-96.13,27,16,445,1950,18,4.4,121.9,17.2,24,16,18,22,1.0,,1.0,1.0,,43,1.0,1,,38,42,33,35,1.0,399,24.9,Chicago Bears
30,30,San Francisco 49ers_2016,2,14,0,0.125,309,480,-171,-10.7,-0.5,-11.2,-3.7,-7.5,27,4930,996,4.9,25,15,287,152,116,99,831,19,27.4,10.7,-75.71,32,16,287,491,58.5,2911,21,4.3,10,2.0,75,6.4,6.4,11.0,181.9,83.4,47,255,8.7,5.4,5.4,1.0,1.0,-37.65,4,16,458,2019,15,47,4.4,126.2,29,-28.65,32,16,15,21,,,,,,36,2.0,2,,33,34,18,21,1.0,309,19.3,32,6502,1102,5.9,20,10,358,187,140,93,780,31,41.4,9.4,-52.22,14,16,322,521,61.8,3848,30,5.8,10,73,1.9,7.7,8.0,12.5,240.5,96.9,33,165,80,69,6.0,6.9,7.2,-80.42,32,16,548,2654,25,4.8,165.9,21.49,32,16,25,30,,,1.0,,,56,1.0,1,,51,54,29,32,2.0,480,30.0,San Francisco 49ers
31,31,Cleveland Browns_2016,1,15,0,0.063,264,452,-188,-11.8,1.7,-10.1,-5.2,-4.9,31,4976,983,5.1,25,11,296,181,83,95,736,32,27.2,13.3,-72.41,28,16,338,567,59.6,3264,15,2.6,14,2.5,58,6.5,5.9,10.9,204.0,77.4,66,429,10.4,5.2,4.6,,,-9.7,19,16,350,1712,13,85,4.9,107.0,26,-30.05,30,16,13,15,,,,1.0,,29,2.0,4,,23,25,21,27,,264,16.5,30,6279,1067,5.9,13,3,364,220,121,104,930,23,40.8,6.1,-128.14,21,16,347,543,63.9,3996,36,6.6,10,67,1.8,7.7,8.2,12.0,249.8,101.8,26,177,81,52,4.6,7.0,7.5,-138.11,31,16,498,2283,18,4.6,142.7,6.08,30,16,18,36,,,2.0,,,56,2.0,2,,49,52,19,27,2.0,452,28.3,Cleveland Browns
